country,year,status
Suriname,n/a,achieved
Bhutan,n/a,achieved
Sweden,2045,in law
United Kingdom,2050,in law
France,2050,in law
Denmark,2050,in law
New Zealand,2050,in law
Hungary,2050,in law
European Union,2050,proposed legislation
Spain,2050,proposed legislation
Fiji,2050,proposed legislation
Finland,2035,in policy document
Iceland,2040,in policy document
Japan,2050,in policy document
Germany,2050,in policy document
South Korea,2050,in policy document
Switzerland,2050,in policy document
Norwary,2050,in policy document
Ireland,2050,in policy document
South Africa,2050,in policy document
Portugal,2050,in policy document
Costa Rica,2050,in policy document
Slovenia,2050,in policy document
Marshall Islands,2050,in policy document
